formula,coord,eps_2p,E_O-OH,E_O,E_OH
Ag,1,-1,2.31,1.03,-1.29
Ag,2,-1.89,1.56,-0.13,-1.69
Ag,3,-2.02,1.44,-0.41,-1.85
Au,1,-1.25,2.28,1.28,-1
Au,3,-2.62,1.17,-0.02,-1.19
Cd,1,-1.13,2.05,0.35,-1.71
Cd,2,-2.91,0.62,-1.58,-2.2
Cd,3,-2.81,0.73,-1.57,-2.29
Co,1,-2.49,1.11,-1.02,-2.13
Co,2,-3.71,0.14,-2.29,-2.43
Co,3,-4.08,-0.09,-2.83,-2.75
Cr,3,-4.67,-0.37,-3.31,-2.94
Cu,1,-1.57,1.81,0.1,-1.71
Cu,2,-2.91,0.84,-1.27,-2.11
Cu,3,-3.1,0.67,-1.62,-2.29
Fe,1,-3.02,0.65,-1.53,-2.18
Fe,2,-4,-0.07,-2.65,-2.58
Fe,3,-4.14,-0.15,-3.03,-2.88
Ir,1,-2.6,1.15,-0.84,-1.98
Ir,2,-3.28,0.71,-1.27,-1.97
Ir,3,-3.77,0.13,-1.73,-1.86
Mn,1,-3.04,0.09,-2.53,-2.62
Mn,2,-4.2,-0.41,-3.48,-3.08
Mn,3,-4.26,-0.35,-3.7,-3.35
Mo,1,-3.48,-0.1,-3.07,-2.98
Nb,1,-2.98,0.36,-4.68,-5.04
Nb,3,-4.38,-0.48,-6.57,-6.09
Ni,1,-2.14,1.43,-0.57,-2
Ni,2,-3.53,0.32,-1.93,-2.25
Ni,3,-3.96,0.05,-2.47,-2.52
Os,1,-3.48,0.72,-1.35,-2.06
Os,2,-3.86,0.48,-1.69,-2.17
Os,3,-4.23,0.03,-2.02,-2.06
Pb,1,-1.29,1.75,-0.28,-2.03
Pb,2,-2.46,0.99,-1.2,-2.19
Pd,1,-1.73,1.85,0.31,-1.54
Pd,2,-2.81,1.03,-0.7,-1.73
Pd,3,-3.35,0.57,-1.16,-1.73
Pt,1,-2.14,1.67,0.03,-1.64
Pt,2,-3.14,0.88,-0.71,-1.59
Pt,3,-3.85,0.22,-1.23,-1.44
Re,1,-3.75,-0.15,-2.65,-2.49
Re,2,-4.4,-0.33,-2.76,-2.43
Re,3,-4.57,-0.4,-3.06,-2.66
Rh,1,-2.29,1.34,-0.58,-1.91
Rh,2,-3.17,0.75,-1.38,-2.14
Rh,3,-3.56,0.36,-1.81,-2.17
Ru,1,-3.15,0.8,-1.24,-2.04
Ru,2,-3.68,0.39,-2,-2.39
Ru,3,-3.84,0.11,-2.3,-2.41
Sc,1,-2.18,0.6,-3.47,-4.07
Sc,2,-4,-0.65,-5.49,-4.84
Sc,3,-4.34,-1,-6.13,-5.13
Sn,1,-1.52,1.52,-0.78,-2.3
Sn,2,-3.17,0.5,-1.61,-2.12
Sn,3,-4.05,0.12,-1.92,-2.05
Ti,1,-2.98,0.31,-3.42,-3.73
Ti,2,-4.33,-0.62,-5.23,-4.61
Ti,3,-4.76,-0.97,-5.92,-4.95
V,3,-4.79,-0.56,-3.35,-2.79
W,1,-3.5,-0.15,-5.06,-4.91
W,3,-5.13,-0.37,-4.37,-4.01
Y,1,-1.88,0.85,-3.15,-4
Y,2,-3.75,-0.56,-5.29,-4.73
Y,3,-4.16,-0.97,-6.01,-5.04
Zn,1,-1.53,1.97,0.04,-1.93
Zn,3,-3.58,0.29,-2.04,-2.32
Zr,1,-2.62,0.54,-3.16,-3.69
Zr,2,-4.2,-0.62,-5.08,-4.47
Zr,3,-4.71,-1.03,-5.87,-4.84
Ag,N/A,-2.01,1.44,-0.41,-1.85
Au,N/A,-2.62,1.17,-0.02,-1.19
Cd,N/A,-2.91,0.7,-1.6,-2.3
Co,N/A,-4.08,-0.08,-2.83,-2.75
Cr,N/A,-4.61,-1.27,-4.4,-3.13
Cu,N/A,-3.1,0.67,-1.62,-2.29
Fe,N/A,-4.14,-0.15,-3.03,-2.88
Ir,N/A,-3.76,0.26,-1.73,-1.99
Mn,N/A,-4.25,-0.35,-3.7,-3.35
Mo,N/A,-4.72,-0.6,-4.2,-3.6
Nb,N/A,-4.62,-0.68,-7.44,-6.76
Ni,N/A,-3.94,0.05,-2.47,-2.52
Os,N/A,-4.23,0.14,-2.02,-2.17
Pb,N/A,-3.07,0.71,-1.5,-2.21
Pd,N/A,-3.35,0.57,-1.16,-1.73
Pt,N/A,-3.85,0.42,-1.23,-1.65
Re,N/A,-4.57,-0.4,-3.06,-2.66
Rh,N/A,-3.57,0.36,-1.81,-2.17
Ru,N/A,-3.83,0.11,-2.3,-2.41
Sc,N/A,-4.35,-1,-6.13,-5.13
Sn,N/A,-4.05,0.26,-1.93,-2.18
Ti,N/A,-4.76,-0.97,-5.92,-4.95
V,N/A,-4.63,-0.65,-5.07,-4.43
W,N/A,-5.04,-1.08,-6.22,-5.14
Y,N/A,-4.17,-0.97,-6.01,-5.04
Zn,N/A,-3.58,0.29,-2.04,-2.32
Zr,N/A,-4.7,-1.03,-5.87,-4.84
GeO2,1,-0.85,3.35,2.51,-0.84
GeO2,2,-2.53,0.43,-2.81,-3.24
GeO2,3,-4.53,-0.99,-3.13,-2.15
IrO2,1,-2.44,1.66,-1,-2.66
IrO2,2,-2.91,1.21,-2.56,-3.77
IrO2,3,-4.63,-0.09,-3.05,-2.96
MoO2,1,-3.58,0.24,-2.84,-3.08
NbO2,1,-3.55,0.04,-3.53,-3.57
NbO2,3,-4.75,-1.05,-5.11,-4.06
PbO2,1,-0.58,3.29,2.92,-0.37
PbO2,2,-1.27,2.43,0.53,-1.89
PbO2,3,-2.32,1.4,-0.21,-1.62
PtO2,1,-1.83,2.39,0.47,-1.92
PtO2,2,-2.29,1.61,-1.24,-2.84
PtO2,3,-3.94,0.42,-2,-2.42
RhO2,1,-2.02,2.09,0.31,-1.78
RhO2,2,-2.35,1.79,-1.3,-3.09
RhO2,3,-3.67,0.68,-2.36,-3.04
RuO2,1,-2.84,1.27,-0.98,-2.25
RuO2,2,-3.38,1.04,-2.48,-3.52
RuO2,3,-4.19,-0.13,-3.32,-3.19
SnO2,1,-0.62,3.36,2.43,-0.92
SnO2,2,-1.67,1.28,-2.36,-3.63
SnO2,3,-3.72,-0.2,-2.94,-2.74
TaO2,1,-3.37,0.02,-4.29,-4.32
TaO2,2,-5.14,-0.75,-5.34,-4.59
TaO2,3,-5.94,-1.71,-4.79,-3.08
TiO2,1,-0.74,2.85,2.08,-0.76
TiO2,2,-3.09,0.09,-4.11,-4.2
TiO2,3,-3.62,-0.55,-5.25,-4.7
WO2,1,-3.8,0.18,-3.73,-3.91
WO2,3,-5.23,-1.38,-3.61,-2.23
BaAgO3,2,-1.37,2.63,N/A,N/A
BaAlO3,2,-1.58,2.43,N/A,N/A
BaAsO3,2,-2.13,2.27,N/A,N/A
BaBO3,2,-5.21,-0.53,N/A,N/A
BaBaO3,2,-0.89,1.65,N/A,N/A
BaCuO3,2,-1.41,2.6,N/A,N/A
BaGaO3,2,-1.44,2.56,N/A,N/A
BaGeO3,2,-2.25,1.87,N/A,N/A
BaHfO3,2,-2.55,-1.27,N/A,N/A
BaHgO3,2,-1.52,2.37,N/A,N/A
BaInO3,2,-1.3,2.69,N/A,N/A
BaIrO3,2,-3.29,0.96,N/A,N/A
BaPtO3,2,-2.48,1.85,N/A,N/A
BaReO3,2,-4.57,-0.46,N/A,N/A
BaScO3,2,-1.06,2.57,N/A,N/A
BaSnO3,2,-2.09,1.49,N/A,N/A
BaTaO3,2,-5.04,-1.92,N/A,N/A
BaTiO3,2,-2.37,0.87,N/A,N/A
BaZrO3,2,-2.46,-1.04,N/A,N/A
CaAlO3,1,-0.75,3.04,2.35,-0.7
CaBiO3,1,-0.8,2.3,0.1,-2.2
CaCuO3,1,-1.01,2.76,1.86,-0.91
CaGaO3,1,-0.66,3.14,2.4,-0.74
CaGeO3,1,-0.96,3.06,1.21,-1.84
CaNbO3,1,-3.98,-0.56,-5.04,-4.48
CaNiO3,1,-1.58,2.36,-0.25,-2.61
CaScO3,1,-0.33,3.25,2.31,-0.94
CaSiO3,1,-1.08,3.11,0.78,-2.33
CaSiO3,2,-3.68,-0.56,N/A,N/A
CaTaO3,1,-4.06,-0.71,-5.8,-5.09
CaTiO3,1,-0.66,2.68,1.18,-1.49
CaYO3,1,-0.27,3.25,1.81,-1.44
KBiO3,2,-1.58,2.36,N/A,N/A
KCuO3,2,-1.21,2.72,N/A,N/A
KHfO3,2,-1.33,2.38,N/A,N/A
KOsO3,2,-3.9,0.27,N/A,N/A
KRuO3,2,-2.55,1.54,N/A,N/A
KSbO3,2,-2.65,1.24,N/A,N/A
KSnO3,2,-1.57,2.48,N/A,N/A
KTaO3,2,-4.55,-1.24,N/A,N/A
KTiO3,2,-1.43,2.67,N/A,N/A
KZrO3,2,-1.23,2.45,N/A,N/A
LaAlO3,1,-0.65,3.21,2.27,-0.94
LaCuO3,1,-0.95,2.82,1.93,-0.88
LaGaO3,2,-1.89,2.28,N/A,N/A
LaIrO3,1,-2.63,1.41,-2.41,-3.82
LaMgO3,1,-0.28,3.34,2.6,-0.74
LaNiO3,1,-1.5,2.39,0.85,-1.55
LaReO3,1,-4.32,-0.25,-4.23,-3.98
LaTiO3,2,-4.97,-1.56,N/A,N/A
LaZnO3,1,-0.71,3.06,2.5,-0.56
NaHfO3,2,-1.34,2.44,N/A,N/A
NaOsO3,2,-4.2,0.24,N/A,N/A
NaSiO3,2,-2.62,1.94,N/A,N/A
NaSnO3,2,-1.57,2.53,N/A,N/A
NaTaO3,2,-4.75,-1.29,N/A,N/A
NaTiO3,2,-1.57,2.43,N/A,N/A
NaZrO3,2,-1.24,2.51,N/A,N/A
SrAgO3,1,-0.9,2.91,2.12,-0.79
SrAlO3,1,-0.8,3.04,2.25,-0.79
SrAlO3,2,-1.64,2.33,N/A,N/A
SrAuO3,1,-1.27,2.78,1.71,-1.06
SrGaO3,1,-0.73,3.11,2.38,-0.73
SrGeO3,1,-1.04,3.04,1.22,-1.83
SrGeO3,2,-2.46,1.59,N/A,N/A
SrHfO3,1,-0.44,3.22,1.53,-1.69
SrHfO3,2,-2.54,-1.04,N/A,N/A
SrIrO3,1,-2.86,1.52,-0.75,-2.27
SrMoO3,1,-3.37,0.06,-3.54,-3.59
SrNbO3,1,-3.89,-0.42,-4.79,-4.37
SrPbO3,1,-0.7,2.95,1.56,-1.4
SrPdO3,1,-1.45,2.38,0.74,-1.64
SrReO3,1,-3.89,-0.09,-4.24,-4.16
SrScO3,1,-0.34,3.24,2.48,-0.75
SrSnO3,1,-0.7,3.13,1.41,-1.72
SrSnO3,2,-2.29,1.44,N/A,N/A
SrTaO3,1,-3.95,-0.6,-5.68,-5.08
SrTiO3,1,-0.72,2.69,1.03,-1.66
SrTlO3,1,-0.76,3,2.1,-0.91
SrWO3,1,-3.78,-0.39,-4.89,-4.5
SrYO3,1,-0.28,3.25,1.9,-1.35
SrZnO3,1,-0.79,3,2.48,-0.52
SrZrO3,1,-0.46,3.14,1.5,-1.64
YAlO3,2,-2.35,1.93,N/A,N/A
YRhO3,2,-3.02,0.92,N/A,N/A
CaAgO3*,1,-0.84,2.83,1.93,-0.9
CaAgO3*,2,-1.29,2.54,N/A,N/A
CaAlO3*,2,-1.76,2.25,N/A,N/A
CaAuO3*,1,-1.19,2.67,1.41,-1.26
CaBO3*,1,-1.94,1.91,N/A,N/A
CaBaO3*,2,-1.13,1.2,N/A,N/A
CaCuO3*,2,-1.46,2.48,N/A,N/A
CaGaO3*,2,-1.6,2.56,N/A,N/A
CaGeO3*,2,-2.64,1.13,N/A,N/A
CaInO3*,2,-1.06,2.88,N/A,N/A
CaIrO3*,1,-2.79,1.4,N/A,N/A
CaLaO3*,2,-0.98,2.49,N/A,N/A
CaPbO3*,1,-0.69,3.05,1.76,-1.3
CaPbO3*,2,-1.36,2.13,N/A,N/A
CaReO3*,1,-3.92,-0.06,N/A,N/A
CaRhO3*,1,-2.42,1.66,N/A,N/A
CaRhO3*,2,-2.51,1.65,N/A,N/A
CaScO3*,2,-0.92,2.73,N/A,N/A
CaSnO3*,1,-0.69,3.16,1.51,-1.65
CaSnO3*,2,-2.04,1.33,N/A,N/A
CaTaO3*,2,-5.13,-1.55,N/A,N/A
CaTeO3*,1,-1.43,2.04,N/A,N/A
CaTiO3*,2,-2.74,0.11,N/A,N/A
CaTlO3*,1,-0.74,3.04,2,-1.04
CaWO3*,1,-4,-0.49,N/A,N/A
CaYO3*,2,-0.64,2.79,N/A,N/A
CaZrO3*,1,-0.45,3.15,1.89,-1.27
CaZrO3*,2,-2.18,-0.88,N/A,N/A
LaAgO3*,1,-0.83,2.84,2.01,-0.83
LaAlO3*,2,-1.98,1.82,N/A,N/A
LaAsO3*,1,-1.73,2.16,N/A,N/A
LaAsO3*,2,-2.15,1.38,N/A,N/A
LaAuO3*,1,-1.18,2.57,1.5,-1.07
LaBO3*,2,-1.85,2.02,N/A,N/A
LaCaO3*,1,-0.43,3,0.39,-2.61
LaCdO3*,1,-0.52,3.19,2.26,-0.93
LaCoO3*,1,-1.85,1.88,0.09,-1.79
LaCoO3*,2,-2.47,1.44,N/A,N/A
LaCuO3*,2,-1.87,1.88,N/A,N/A
LaHfO3*,1,-2.89,0.01,N/A,N/A
LaHgO3*,1,-1.02,2.88,1.43,-1.45
LaIrO3*,2,-3.73,0.81,N/A,N/A
LaMgO3*,2,-0.98,2.82,N/A,N/A
LaNbO3*,1,-4.12,-0.94,N/A,N/A
LaNiO3*,2,-2.26,1.75,N/A,N/A
LaOsO3*,1,-3.46,0.41,-3.09,-3.5
LaOsO3*,2,-5.14,-0.22,N/A,N/A
LaPbO3*,1,-0.64,2.65,N/A,N/A
LaPdO3*,1,-1.36,2.42,0.67,-1.75
LaPdO3*,2,-2.06,1.6,N/A,N/A
LaPtO3*,1,-1.81,2.21,0.05,-2.16
LaPtO3*,2,-3.16,1.07,N/A,N/A
LaRhO3*,1,-2.23,1.73,-0.68,-2.41
LaRhO3*,2,-3.07,0.92,N/A,N/A
LaRuO3*,1,-2.47,1.31,-0.87,-2.17
LaRuO3*,2,-3.54,0.52,N/A,N/A
LaSiO3*,2,-4.26,-0.87,N/A,N/A
LaTaO3*,1,-4.26,-0.94,N/A,N/A
LaTaO3*,2,-4.8,-1.58,N/A,N/A
LaTlO3*,1,-0.68,3.07,1.83,-1.24
LaZnO3*,2,-1.78,2.17,N/A,N/A
LaZrO3*,1,-3.26,-0.3,N/A,N/A
SrAgO3*,2,-1.23,2.62,N/A,N/A
SrBO3*,2,-5.27,-0.6,N/A,N/A
SrGaO3*,2,-1.46,2.48,N/A,N/A
SrIrO3*,2,-3.62,1.41,N/A,N/A
SrNiO3*,2,-2.7,2.06,N/A,N/A
SrPbO3*,2,-1.37,2.24,N/A,N/A
SrReO3*,2,-4.52,-0.45,N/A,N/A
SrRhO3*,1,-2.27,1.86,N/A,N/A
SrRhO3*,2,-2.57,1.46,N/A,N/A
SrRuO3*,1,-2.31,1.38,-0.7,-2.08
SrSbO3*,1,-1.14,2.09,-0.79,-2.87
SrScO3*,2,-1.1,2.52,N/A,N/A
SrSiO3*,2,-3.32,0.17,N/A,N/A
SrTaO3*,2,-5.28,-2.06,N/A,N/A
SrTiO3*,2,-2.51,0.18,N/A,N/A
SrTlO3*,2,-1.07,2.62,N/A,N/A
SrYO3*,2,-0.7,2.81,N/A,N/A
SrZnO3*,2,-1.43,2.5,N/A,N/A
SrZrO3*,2,-2.46,-0.89,N/A,N/A
